Date/Time,Word Count,en,fr-FR
2020.04.30-12.18.27,0,0,0
2020.04.30-13.03.19,79,0,79
2020.04.30-13.10.37,79,79,79
2020.04.30-13.58.10,91,79,91
2020.05.01-12.15.47,108,79,108
2020.12.12-10.42.20,1008,87,1008
2020.12.12-10.43.52,303,87,303
2020.12.12-10.44.37,233,17,233
2020.12.12-10.47.20,0,0,0
2020.12.12-10.49.40,6,0,6
2020.12.12-10.51.09,6,6,6
2020.12.12-11.18.20,12,6,12
2020.12.12-11.19.09,12,12,12
2020.12.12-11.52.33,18,12,18
2020.12.12-11.53.12,18,18,18
2020.12.12-12.07.50,58,18,58
2020.12.12-12.11.02,58,58,58
2020.12.12-12.17.51,69,58,69
2020.12.12-12.18.59,69,69,69
2020.12.12-12.25.31,77,69,77
2020.12.12-12.40.27,183,77,183
2020.12.12-12.46.19,183,183,183
2020.12.13-19.21.52,193,183,193
2020.12.13-19.22.40,193,193,193
2020.12.19-11.31.37,196,193,196
2020.12.19-11.32.10,196,196,196
2021.02.21-10.57.41,224,196,224
2021.02.21-10.59.58,224,224,224
2021.05.27-21.48.13,236,224,236
2021.05.27-21.49.03,236,236,236
2021.05.29-10.44.51,237,236,237
2021.05.29-10.45.18,237,237,237
2021.05.29-13.37.11,247,237,247
2021.05.29-13.38.16,247,247,247
2021.05.30-12.18.50,253,244,253
2021.05.30-12.19.13,253,253,253
2021.05.30-12.26.43,260,253,260
2021.05.30-12.27.34,260,255,260
2021.05.30-12.28.31,260,260,260
2021.06.05-13.58.09,284,260,284
2021.06.05-13.59.31,284,284,284
2021.06.19-12.43.44,290,284,290
